gene_id,gene_name,gene_type,replicated_overall_rank,overall_rank,average_rank,n_withinTop100,Br6522_LC_1_round1_single,Br6522_LC_2_round1_single,Br8153_LC_round2_left,Br8153_LC_round2_right,Br2701_LC_round2_top,Br2701_LC_round2_bottom,Br6522_LC_round3_leftbottom,Br6522_LC_round3_right,Br8079_LC_round3_left,Br8079_LC_round3_right,Br2701_LC_round3_left,Br2701_LC_round3_right,Br8153_LC_round3_left
ENSG00000142166,IFNAR1,protein_coding,NA,3499,2966,0,NA,NA,NA,NA,NA,NA,NA,2966,NA,NA,NA,NA,NA
ENSG00000118276,B4GALT6,protein_coding,NA,3500,2967,0,NA,NA,NA,NA,NA,NA,NA,2967,NA,NA,NA,NA,NA
ENSG00000092148,HECTD1,protein_coding,NA,3501,2968,0,NA,NA,NA,NA,NA,NA,NA,2968,NA,NA,NA,NA,NA
ENSG00000163110,PDLIM5,protein_coding,NA,3502,2969,0,NA,NA,NA,NA,NA,NA,NA,2969,NA,NA,NA,NA,NA
ENSG00000100354,TNRC6B,protein_coding,NA,3503,2970,0,NA,NA,NA,NA,NA,NA,NA,2970,NA,NA,NA,NA,NA
ENSG00000198743,SLC5A3,protein_coding,NA,3504,2974,0,NA,NA,NA,NA,NA,NA,NA,2974,NA,NA,NA,NA,NA
ENSG00000161682,FAM171A2,protein_coding,NA,3505,2976,0,NA,NA,NA,NA,NA,NA,NA,2976,NA,NA,NA,NA,NA
ENSG00000197121,PGAP1,protein_coding,NA,3506.5,2977,0,2429,NA,NA,NA,NA,NA,NA,3525,NA,NA,NA,NA,NA
ENSG00000130204,TOMM40,protein_coding,NA,3506.5,2977,0,NA,NA,NA,NA,NA,NA,NA,2977,NA,NA,NA,NA,NA
ENSG00000103647,CORO2B,protein_coding,NA,3508,2985,0,NA,NA,NA,NA,NA,NA,NA,2985,NA,NA,NA,NA,NA
ENSG00000100505,TRIM9,protein_coding,NA,3509,2986,0,NA,NA,NA,NA,NA,NA,NA,2986,NA,NA,NA,NA,NA
ENSG00000179134,SAMD4B,protein_coding,NA,3510,2987,0,NA,NA,NA,NA,NA,NA,NA,2987,NA,NA,NA,NA,NA
