"","V10B01-085_A1","V10B01-085_B1","V10B01-085_C1","V10B01-085_D1","V10B01-086_A1","V10B01-086_B1","V10B01-086_C1","V10B01-086_D1","V11A20-297_A1","V11A20-297_B1","V11A20-297_C1","V11A20-297_D1","V11L05-333_A1","V11L05-333_B1","V11L05-333_C1","V11L05-333_D1","V11L05-335_A1","V11L05-335_B1","V11L05-335_C1","V11L05-335_D1","V11L05-336_A1","V11L05-336_B1","V11L05-336_C1","V11L05-336_D1","V11U08-081_A1","V11U08-081_B1","V11U08-081_C1","V11U08-081_D1","V11U08-084_A1","V11U08-084_B1","V11U08-084_C1","V11U08-084_D1","V12F14-051_A1","V12F14-051_B1","V12F14-051_C1","V12F14-051_D1"
"ENSG00000152601",4731,NA,3175,4525,NA,NA,NA,NA,3393,3196,NA,NA,4052,3805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3445,3262,NA,NA,NA,NA,NA,2459,2816,NA,2520
"ENSG00000181467",3114,NA,2275,1198,NA,NA,NA,NA,1110,1106,NA,NA,NA,1201,NA,1620,NA,1207,1186,NA,1013,NA,NA,NA,NA,2002,1240,1489,NA,NA,NA,NA,871,1265,1154,915
"ENSG00000174953",5542,2731,4664,3471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2638,3033,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000240045",NA,NA,NA,NA,NA,NA,NA,NA,NA,285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000169359",4105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000169282",1712,813,1392,407,NA,NA,1990,300,1425,467,611,329,1177,585,1739,856,194,449,714,680,438,467,NA,NA,NA,NA,327,583,NA,NA,363,707,433,478,462,432
"ENSG00000114850",5816,3519,4838,5997,2575,NA,2898,2425,3339,3508,NA,2230,3622,4433,2868,2767,NA,NA,NA,NA,2810,2360,NA,NA,NA,2850,3310,2999,NA,NA,2207,2025,2851,3079,2600,3109
"ENSG00000163660",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000168779",NA,NA,NA,NA,NA,NA,NA,NA,NA,307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000174891",2318,NA,NA,4404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000178053",NA,NA,NA,2956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3084,NA,NA,NA,NA,1502,NA,NA,NA,NA
"ENSG00000168827",5866,NA,NA,5403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000079257",NA,NA,921,915,NA,474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000118855",4223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000180044",NA,NA,NA,1571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000068885",2245,NA,NA,3140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2731,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000186432",4504,3158,3616,1948,NA,1544,1840,1177,2273,2224,NA,NA,2349,2334,1803,NA,1443,1767,1592,NA,2374,1405,NA,NA,NA,1975,1011,1607,NA,NA,NA,NA,1738,1942,1793,1651
"ENSG00000163590",3702,1149,3076,2604,1298,NA,505,NA,NA,NA,NA,NA,1693,NA,982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1018,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000169255",1324,2309,1338,1500,1328,869,1593,2095,3264,2438,NA,NA,1947,1550,1793,NA,NA,NA,1330,NA,NA,NA,NA,NA,1999,2609,2481,1482,NA,NA,NA,NA,1951,2687,1371,2090
"ENSG00000121871",NA,NA,NA,2652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000114209",4625,NA,NA,5793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000163536",402,184,1092,390,85,98,122,209,113,1555,198,440,562,417,214,1001,269,281,775,541,352,343,1084,883,243,659,159,123,173,245,248,394,718,1120,405,872
"ENSG00000173905",5053,NA,1764,2229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000008952",3600,2257,2796,4028,2099,1674,3081,2745,3885,3000,1444,2092,2764,3167,2068,2322,1913,1841,2118,1389,2767,1932,1342,1248,1897,2103,3063,3232,1717,800,2023,1389,3085,2624,2383,2791
"ENSG00000163558",NA,NA,NA,2238,NA,NA,NA,1886,3193,NA,NA,NA,2101,2615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2391,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000136603",4655,NA,NA,4591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000013297",275,81,47,50,78,145,366,160,262,160,264,70,72,97,454,108,456,298,NA,88,81,150,292,303,215,312,340,163,420,497,116,312,182,1108,349,412
"ENSG00000013293",1366,1548,2107,1844,NA,NA,NA,894,408,1007,NA,NA,3047,679,NA,1196,709,NA,798,NA,720,696,NA,NA,245,322,699,1492,524,NA,NA,NA,697,518,414,467
"ENSG00000154310",3793,NA,3082,5289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000144959",332,710,1412,869,NA,NA,1264,590,1579,990,NA,NA,813,1295,1126,NA,NA,849,1126,NA,1088,999,NA,NA,NA,1835,598,752,NA,NA,912,NA,821,1725,758,1498
"ENSG00000169760",5699,NA,3150,3386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000177565",4341,1568,2827,3012,2046,NA,1810,1458,3851,2677,NA,1999,2844,4125,2275,NA,1344,NA,NA,NA,1816,1418,NA,NA,NA,2834,1235,2823,1270,NA,NA,NA,2855,2028,1875,2222
"ENSG00000172667",2894,3200,3478,2216,NA,NA,2307,2309,1945,2649,NA,NA,3211,3011,1556,NA,NA,1462,NA,NA,NA,1630,NA,NA,NA,3147,1980,2361,1584,NA,NA,NA,1774,1553,2304,1523
"ENSG00000136522",NA,NA,NA,4897,NA,NA,NA,NA,3534,3031,NA,NA,2470,NA,2714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000136521",3389,2430,2690,2394,1787,1224,1262,1782,1795,2266,1260,1798,1369,2580,765,2080,1861,2076,1522,1505,2336,1439,NA,1337,1811,1503,3466,1448,1677,NA,1948,833,3248,2734,2584,2179
"ENSG00000114757",288,1077,1696,1817,1617,807,1370,1217,1302,1840,1448,1463,2270,2416,1740,NA,698,NA,NA,NA,689,912,NA,NA,604,469,336,1015,1577,607,1501,NA,2206,663,1666,796
"ENSG00000163728",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000114416",4097,2783,3964,4911,NA,NA,NA,NA,3979,NA,NA,NA,3181,4287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2825,3163,NA,NA,NA,NA,3242,2626,NA,NA
"ENSG00000205981",4189,3083,4228,5001,2405,NA,2426,2670,2339,2744,NA,NA,2201,2736,2114,2550,1763,1662,1495,NA,2728,NA,NA,NA,1619,1848,3349,2148,1516,NA,1976,1982,2562,2295,2693,2636
"ENSG00000242808",836,209,217,117,110,159,898,225,374,292,495,103,106,154,519,110,420,395,718,132,114,192,197,184,393,472,257,314,551,345,145,353,289,1211,466,589
"ENSG00000181449",1225,1983,1499,1614,1120,909,NA,NA,808,2153,NA,1409,2001,1542,2076,1245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1843,NA,NA,NA,NA,2050,1343,NA
"ENSG00000043093",3162,3561,4516,4523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000114796",NA,NA,NA,5566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000163872",5809,NA,3931,5174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3076,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000180834",4523,NA,517,1187,NA,NA,NA,NA,NA,NA,943,NA,858,1087,NA,1060,NA,NA,NA,NA,NA,899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000114770",1065,2746,2528,2365,NA,NA,NA,NA,2222,2087,NA,NA,3150,3151,NA,NA,NA,NA,NA,NA,1564,NA,NA,NA,1204,2188,2232,1970,NA,NA,NA,NA,1442,1473,NA,1260
"ENSG00000145191",NA,NA,NA,4567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000161202",5329,NA,4250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000161203",146,237,742,327,254,214,118,249,279,301,494,617,235,363,102,387,135,258,127,205,220,237,164,213,263,325,190,240,266,368,241,422,231,97,252,261
"ENSG00000161204",NA,NA,NA,3424,NA,NA,NA,NA,2806,NA,NA,NA,NA,3078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2707,2222,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000145198",NA,NA,NA,2339,NA,NA,NA,NA,1436,NA,NA,NA,NA,1337,NA,NA,NA,NA,NA,NA,843,NA,NA,NA,NA,893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000163888",1956,844,586,830,599,841,158,1296,1365,407,NA,NA,1323,562,823,1073,NA,979,1157,NA,NA,NA,NA,NA,1844,1399,NA,580,517,NA,991,NA,961,822,687,939
"ENSG00000175166",3012,2398,2816,1916,1382,1940,1124,1231,2045,1324,1281,1133,2239,1573,2016,2541,939,1113,1264,1006,1769,942,920,1245,1115,3007,1003,1228,1473,NA,1191,1450,1282,1015,1405,1008
"ENSG00000114867",3593,2536,4285,2666,2309,NA,2987,1346,3447,2534,NA,1855,3290,2363,2803,2751,NA,1451,NA,NA,1804,1771,NA,NA,NA,3418,1484,2795,NA,NA,1336,1401,2128,1782,1567,1831
"ENSG00000175182",517,248,540,150,255,290,252,129,419,406,134,106,264,108,291,524,138,355,642,307,215,370,391,440,269,246,70,222,306,181,231,256,180,307,97,373
"ENSG00000163882",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3394,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000090539",2905,NA,NA,1688,NA,NA,NA,1466,1225,NA,NA,NA,NA,1424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,514,395,1111,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000177383",5209,NA,3291,4458,NA,1580,NA,NA,3096,2830,NA,NA,3182,2699,3252,2161,NA,NA,1492,NA,NA,NA,NA,NA,NA,3090,3967,2168,NA,NA,NA,NA,2112,2041,NA,2698
"ENSG00000156931",NA,NA,NA,5302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000073803",3494,NA,4410,5159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000163904",1515,NA,NA,3785,NA,NA,NA,NA,2604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000136527",5394,3378,4982,4552,2509,NA,2826,2607,3706,3088,NA,NA,3870,3048,2131,2212,NA,1750,NA,NA,2770,NA,NA,NA,NA,1960,2556,2685,NA,NA,NA,NA,3089,2855,2358,2609
"ENSG00000244405",1964,1205,4445,2618,NA,NA,NA,1733,2924,NA,NA,1469,NA,2567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1293,2696,NA,NA,NA,NA,2094,NA,NA,NA
"ENSG00000058866",908,NA,977,806,NA,NA,NA,NA,1551,NA,NA,NA,NA,1398,NA,NA,NA,713,NA,NA,983,NA,NA,NA,NA,1110,NA,NA,NA,NA,NA,NA,1517,1736,NA,1445
"ENSG00000090520",5565,NA,NA,5672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000156976",1117,374,551,483,307,305,288,476,301,859,649,765,385,431,108,770,251,379,375,411,355,442,401,598,369,295,304,463,207,303,307,537,348,252,277,323
"ENSG00000073849",4786,NA,NA,5247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000157005",66,517,216,212,342,578,1057,775,326,523,176,528,206,133,351,107,398,212,110,117,266,1004,591,402,190,102,677,469,286,263,255,295,300,126,187,143
"ENSG00000113916",4723,NA,NA,5969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000152492",5381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000114279",979,857,943,1212,636,751,910,NA,778,1157,561,NA,644,1677,1251,NA,NA,NA,1453,NA,2412,1296,NA,NA,NA,1988,2942,912,545,NA,NA,NA,2210,2086,NA,2731
"ENSG00000127249",5127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000198836",1513,1107,2547,1834,1615,1392,1373,1305,1338,1626,NA,NA,2042,2398,1272,1774,1319,1457,1807,NA,1631,1358,NA,NA,1525,1657,906,1299,1770,NA,1180,NA,1509,1043,1178,1001
"ENSG00000114315",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3695,2281,NA,2554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000133657",5099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000114331",2409,NA,NA,5936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000184203",1202,3016,2849,2551,2321,NA,2558,1750,2847,2611,NA,NA,2340,3066,2629,NA,NA,NA,2062,NA,2212,NA,NA,NA,NA,2004,1224,2013,NA,NA,NA,NA,2290,NA,2447,1848
"ENSG00000189058",533,90,41,85,176,196,538,222,234,304,447,128,73,159,942,166,388,356,578,190,142,300,224,219,148,60,293,186,489,331,182,332,528,157,332,124
"ENSG00000061938",4854,3421,3004,4651,NA,NA,2887,NA,3875,NA,NA,NA,3917,4425,2963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3245,3642,3201,NA,NA,NA,NA,3120,3006,2591,NA
"ENSG00000072274",5145,NA,3663,3525,NA,NA,NA,NA,NA,1925,NA,NA,2072,994,2654,1033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3676,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000213123",4678,NA,2468,3783,NA,NA,NA,NA,2967,NA,NA,NA,2216,2483,1240,1680,NA,NA,NA,NA,NA,NA,NA,NA,1873,1343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000163961",5890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000163964",2953,3597,3901,3905,NA,NA,NA,NA,2570,3398,NA,NA,2537,NA,3060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2669,2922,NA,NA,NA,NA,2738,NA,NA,NA
"ENSG00000180370",4873,NA,NA,5145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000119231",4515,NA,NA,3281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2948,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000114503",2248,NA,3579,5263,NA,NA,NA,NA,2184,NA,NA,NA,NA,2208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1972,NA,NA,NA,NA,NA,NA,NA,2988,2082,2207
"ENSG00000270170",4996,NA,4071,3007,NA,NA,NA,NA,2697,2610,NA,NA,1804,2382,1848,2339,NA,NA,NA,NA,NA,NA,NA,NA,NA,2561,3278,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000075711",4912,3419,2914,4337,NA,NA,NA,NA,3331,NA,NA,NA,2235,2589,2736,NA,NA,NA,NA,NA,NA,1567,NA,NA,NA,NA,2642,3120,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000161267",2389,NA,2785,3344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000145016",4439,3594,3959,4963,NA,NA,2996,2807,NA,NA,NA,NA,NA,4217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2414,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000122068",5664,NA,NA,4329,NA,NA,NA,NA,3140,NA,NA,NA,NA,2613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2923,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000182899",1140,1504,671,3066,749,1164,1838,1299,1066,1212,998,1179,3445,1116,1490,423,860,676,391,893,870,1181,616,585,1236,1251,1062,2421,1350,298,539,282,929,1458,1882,1101
"ENSG00000182903",NA,NA,NA,4303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000273238",4164,2433,2121,1109,1187,NA,1425,1389,2858,1072,NA,825,1012,1015,1541,NA,NA,NA,NA,NA,1839,NA,NA,NA,NA,NA,1217,1267,NA,NA,1606,NA,2519,1927,2261,2526
"ENSG00000169020",1053,1264,1618,2121,1209,1117,1586,2989,1530,1581,1123,1418,2311,1712,1396,510,902,695,1010,616,716,976,280,429,947,1691,2017,2125,1573,717,1343,1145,1254,1012,1826,1534
"ENSG00000185619",4181,NA,NA,5083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000168993",1184,257,739,428,154,323,59,524,187,96,156,624,65,864,86,744,1419,396,1101,751,990,256,677,NA,323,1315,1052,220,278,NA,921,NA,698,1335,668,1170
"ENSG00000178950",5723,2972,4299,3514,NA,NA,NA,NA,2807,NA,NA,NA,NA,4316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2506,2775,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000127419",NA,NA,4991,5605,NA,NA,NA,NA,3684,NA,NA,NA,NA,3415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000145214",3470,NA,2508,1682,NA,NA,NA,NA,NA,1803,NA,NA,NA,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000159692",4146,1361,2077,1976,1809,1701,1150,1266,2405,2182,1156,1561,2232,2118,1777,2049,1201,1106,1574,1234,1310,1384,1210,1088,1356,2311,2186,1864,1436,NA,1368,1380,1095,2111,1328,2249
"ENSG00000090316",3560,1618,2343,2105,1823,NA,1580,1351,2296,1614,NA,NA,2059,2114,1852,2311,NA,1341,1251,NA,2044,1396,NA,NA,NA,1820,1400,1469,NA,NA,NA,NA,1284,1501,NA,1582
"ENSG00000163950",1852,1987,2437,2223,NA,NA,1997,940,3049,2315,NA,NA,1921,2218,2699,NA,NA,NA,1370,NA,1887,NA,NA,NA,NA,2757,1772,1782,NA,NA,NA,NA,2103,1968,1762,1728
"ENSG00000168936",5325,NA,NA,5912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000068078",1629,1869,2559,1847,1599,1460,1991,2229,1179,2149,1270,2235,2969,2821,2622,1715,1576,1129,1400,1237,1779,2230,NA,878,1680,2244,1163,2137,911,1020,1698,1621,1497,1941,1422,1697
"ENSG00000168924",5428,NA,4254,4738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3850,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000109685",2006,NA,3811,4714,NA,NA,NA,NA,NA,NA,NA,NA,NA,4010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000243449",1630,2629,926,2012,1278,1010,2795,2160,1737,1271,858,826,1761,1843,2408,757,1676,898,1332,736,1200,1089,897,860,2127,3135,3645,2567,1931,846,1305,1155,1728,2526,1996,2547
"ENSG00000185818",1343,2053,2087,1522,982,1633,390,1170,2236,877,737,845,1742,1431,948,1925,1365,885,2126,953,1698,1217,645,983,1568,2910,1436,1085,1429,909,1653,1017,917,1446,984,2058
"ENSG00000123933",4615,NA,NA,5920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000063978",3359,2854,4924,4182,NA,NA,NA,NA,NA,NA,NA,NA,3621,4285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000087274",3549,2564,4167,3819,2119,1672,1607,1822,1749,2460,1248,1947,3186,2924,1845,2418,1452,1736,1912,1444,2269,2175,1221,1220,1694,1562,1554,2569,1377,928,1353,1187,1695,2090,1218,1569
"ENSG00000109736",3531,3042,NA,5911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2705,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000197386",5281,3349,NA,5758,NA,NA,2155,NA,3150,3120,NA,NA,NA,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3164,3508,3215,NA,NA,NA,NA,3239,NA,NA,NA
"ENSG00000159788",3838,NA,NA,4975,NA,NA,2576,NA,NA,NA,NA,NA,NA,4352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000163956",687,1140,1870,966,825,1009,808,966,1567,1739,1153,1102,1278,1413,871,1506,1022,1163,1437,1212,2195,1647,1206,1213,1079,1055,872,762,1127,NA,1226,931,1245,1456,1124,1343
"ENSG00000168824",788,599,487,786,496,717,379,1714,547,469,359,1041,290,826,249,1232,1115,961,1014,990,1664,622,NA,NA,899,669,2597,473,544,NA,1082,NA,1155,957,760,1195
"ENSG00000163132",NA,NA,NA,NA,NA,NA,NA,NA,NA,294,NA,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,NA,NA,179,NA,NA,NA,NA,NA,NA,397,70,NA,NA,NA,NA
"ENSG00000072832",1092,480,460,524,511,634,494,573,806,447,527,353,822,393,827,751,505,806,665,554,439,410,440,410,903,687,477,564,427,313,425,426,368,501,293,484
"ENSG00000181215",NA,NA,NA,1833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
