"","V10B01-085_A1","V10B01-085_B1","V10B01-085_C1","V10B01-085_D1","V10B01-086_A1","V10B01-086_B1","V10B01-086_C1","V10B01-086_D1","V11A20-297_A1","V11A20-297_B1","V11A20-297_C1","V11A20-297_D1","V11L05-333_A1","V11L05-333_B1","V11L05-333_C1","V11L05-333_D1","V11L05-335_A1","V11L05-335_B1","V11L05-335_C1","V11L05-335_D1","V11L05-336_A1","V11L05-336_B1","V11L05-336_C1","V11L05-336_D1","V11U08-081_A1","V11U08-081_B1","V11U08-081_C1","V11U08-081_D1","V11U08-084_A1","V11U08-084_B1","V11U08-084_C1","V11U08-084_D1","V12F14-051_A1","V12F14-051_B1","V12F14-051_C1","V12F14-051_D1"
"ENSG00000128534",5828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000184408",3242,877,2204,1265,NA,NA,NA,NA,NA,NA,NA,NA,1210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1165,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000196937",4651,719,1781,1297,856,1204,975,764,542,540,NA,1028,734,725,332,895,546,1272,390,531,1118,801,571,824,452,407,1259,705,651,NA,1088,1392,786,595,859,581
"ENSG00000106278",589,1625,1989,2321,2095,1762,2849,2264,1316,2419,1308,2188,1998,1864,2724,2047,1839,1582,1381,1501,1937,1718,1310,1097,935,844,3250,2259,1115,892,1038,NA,1007,2100,417,982
"ENSG00000081803",367,NA,2567,372,NA,NA,NA,1082,NA,NA,NA,710,NA,NA,NA,NA,NA,NA,NA,NA,647,NA,NA,NA,NA,NA,984,NA,NA,NA,NA,NA,1017,NA,NA,NA
"ENSG00000128609",510,616,594,397,703,630,452,586,800,800,487,471,633,934,386,1080,1119,1019,1265,790,1064,541,789,895,1256,1059,1828,624,519,694,995,1551,631,1154,808,942
"ENSG00000106299",877,905,2491,1023,1426,1395,1237,516,1366,848,745,234,1041,744,1461,769,314,421,781,365,376,657,516,570,1183,934,405,546,1020,473,559,636,272,809,397,1388
"ENSG00000170775",1172,490,397,441,438,NA,NA,NA,988,1078,870,377,392,586,1973,443,NA,NA,NA,NA,426,482,NA,NA,NA,NA,NA,1010,NA,NA,398,NA,NA,NA,NA,NA
"ENSG00000004059",NA,NA,2462,2546,1073,NA,NA,NA,1495,1318,NA,NA,589,1088,583,956,676,614,510,675,1614,1433,NA,NA,482,800,1295,1112,1468,NA,970,1524,1720,1262,NA,2395
"ENSG00000197157",4358,3360,3988,4450,NA,NA,NA,2394,3567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3178,1857,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000128594",5710,NA,NA,3426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000106348",NA,NA,NA,3289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000128595",3295,1686,4281,3580,NA,NA,NA,2075,3398,NA,NA,NA,2981,4164,NA,NA,NA,NA,NA,NA,2418,NA,NA,NA,NA,3332,2936,2711,NA,NA,NA,NA,2664,NA,NA,NA
"ENSG00000128596",1620,NA,3280,2222,NA,NA,1094,NA,2473,729,NA,NA,1821,1664,1468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1442,NA,1271,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000128591",NA,NA,656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000128524",586,1173,1574,1160,1522,977,1675,1549,774,1243,844,1108,294,748,212,859,1002,910,758,942,1472,1115,924,905,838,1178,1341,1326,1149,907,1210,1579,1158,1142,1235,913
"ENSG00000064419",3238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000158467",3713,NA,3386,5493,NA,NA,NA,NA,NA,443,NA,NA,NA,NA,NA,432,NA,NA,NA,NA,NA,NA,NA,361,NA,NA,NA,NA,NA,NA,732,72,NA,NA,NA,NA
"ENSG00000286722",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,228,NA,NA,NA,NA
